Unit Number	RUL	Altitude	Mach number	Throttle resolver angle 	Total temperature at fan inlet	Total temperature at LPC outlet	Total temperature at HPC outlet	Total temperature at LPT outlet	Pressure at fan inlet	Total pressure in bypass-duct	Total pressure at HPC outlet	Physical fan speed	Physical core speed	Engine pressure ratio (P50/P2)	Static pressure at HPC outlet	Ratio of fuel flow to Ps30	Corrected fan speed	Corrected core speed	Bypass Ratio	Burner fuel-air ratio	Bleed Enthalpy	Demanded fan speed	Demanded corrected fan speed	HPT coolant bleed	LPT coolant bleed
1	125	-0.0005	0.0004	100	518.67	642.36	1583.23	1396.84	14.62	21.61	553.97	2387.96	9062.17	1.3	47.3	522.31	2388.01	8145.32	8.4246	0.03	391	2388	100	39.11	23.3537
1	125	0.0008	-0.0003	100	518.67	642.5	1584.69	1396.89	14.62	21.61	554.55	2388	9061.78	1.3	47.23	522.42	2388.03	8152.85	8.4403	0.03	392	2388	100	38.99	23.4491
1	125	-0.0014	-0.0002	100	518.67	642.18	1582.35	1405.61	14.62	21.61	554.43	2388.03	9070.23	1.3	47.22	522.03	2388	8150.17	8.3901	0.03	391	2388	100	38.85	23.3669
1	125	-0.002	0.0001	100	518.67	642.92	1585.61	1392.27	14.62	21.61	555.21	2388	9064.57	1.3	47.24	522.49	2388.08	8146.56	8.3878	0.03	392	2388	100	38.96	23.2951
1	125	0.0016	0	100	518.67	641.68	1588.63	1397.65	14.62	21.61	554.74	2388.04	9076.14	1.3	47.15	522.58	2388.03	8147.8	8.3869	0.03	392	2388	100	39.14	23.4583
1	125	0.0011	-0.0005	100	518.67	642.24	1584.09	1400.01	14.62	21.61	554.75	2388	9074.98	1.3	47.07	522.42	2388.02	8144.92	8.4152	0.03	393	2388	100	38.92	23.4281
1	125	-0.0038	0.0002	100	518.67	642.58	1585.61	1401.09	14.62	21.61	554.58	2388.04	9074.65	1.3	47.38	522.46	2388.02	8147.05	8.3842	0.03	391	2388	100	38.84	23.4087
1	125	-0.0007	-0.0005	100	518.67	642.32	1588.32	1397.08	14.62	21.6	554.85	2388.06	9063.54	1.3	47.31	522.1	2387.97	8157.34	8.419	0.03	391	2388	100	39.05	23.459
1	125	-0.0026	0	100	518.67	641.64	1587.81	1406.51	14.62	21.61	554.13	2388.04	9067.2	1.3	47.31	521.83	2388.01	8147.2	8.4091	0.03	392	2388	100	38.99	23.4693
1	125	0.0019	-0.0002	100	518.67	642.42	1587.39	1402.25	14.62	21.61	554.78	2387.99	9070.04	1.3	47.35	521.96	2387.99	8152.86	8.3987	0.03	391	2388	100	38.94	23.4781
1	125	0.0026	-0.0002	100	518.67	642.28	1582.38	1391.88	14.62	21.61	554.3	2388.01	9068.24	1.3	47.35	522.23	2388.03	8144.53	8.4235	0.03	392	2388	100	38.97	23.4127
1	125	-0.0036	-0.0004	100	518.67	641.88	1583.24	1397.74	14.62	21.6	554.35	2388.04	9075.26	1.3	47.26	522.13	2387.98	8149.04	8.359	0.03	392	2388	100	39.09	23.366
1	125	-0.0011	0.0001	100	518.67	641.92	1589.68	1395.55	14.62	21.61	554.52	2387.98	9066.53	1.3	47.14	522.06	2388.02	8151.88	8.3821	0.03	391	2388	100	39.04	23.4273
1	125	0.0009	0.0001	100	518.67	642.66	1587.29	1400.9	14.62	21.61	555.17	2388.02	9067.34	1.3	47.28	522.54	2387.97	8148.13	8.4277	0.03	390	2388	100	39.03	23.386
1	125	-0.005	0.0004	100	518.67	642.34	1580.8	1396.5	14.62	21.61	553.96	2387.95	9069.89	1.3	47.29	522.72	2388	8150.63	8.4007	0.03	390	2388	100	39.02	23.4556
1	125	0.0024	0.0003	100	518.67	641.68	1587.32	1395.49	14.62	21.6	553.82	2388.02	9071.14	1.3	47.14	522.28	2387.98	8147.5	8.4197	0.03	391	2388	100	38.96	23.3717
1	125	-0.0019	0.0001	100	518.67	641.9	1591.12	1395.08	14.62	21.61	555.06	2388	9060.74	1.3	47	521.98	2387.93	8154.66	8.3761	0.03	393	2388	100	39.04	23.3718
1	125	-0.0036	0.0002	100	518.67	642.39	1578.96	1402.24	14.62	21.61	554.21	2387.97	9075.87	1.3	47.2	522.2	2388.01	8151.19	8.4205	0.03	392	2388	100	39.12	23.5448
1	125	-0.001	0	100	518.67	642.3	1584.04	1398.85	14.62	21.61	554.59	2387.98	9074.41	1.3	47.16	522.04	2387.98	8154.65	8.3727	0.03	391	2388	100	39.01	23.408
1	125	-0.0028	0.0004	100	518.67	642.26	1579.65	1395.59	14.62	21.61	554.49	2387.97	9071.28	1.3	47.16	523.02	2388.03	8146.24	8.4252	0.03	391	2388	100	38.87	23.4903
1	125	0.0001	-0.0002	100	518.67	642.62	1590.18	1398.01	14.62	21.61	554	2387.99	9074.66	1.3	47.26	522.77	2388.01	8148.33	8.422	0.03	391	2388	100	38.92	23.5088
1	125	0.0011	0.0004	100	518.67	642.13	1586.21	1397.07	14.62	21.61	554.51	2387.98	9075.72	1.3	47.32	522.68	2388.03	8152.3	8.4134	0.03	392	2388	100	39.02	23.3533
1	125	-0.0057	-0.0001	100	518.67	642.05	1586.03	1394.01	14.62	21.61	554.36	2387.99	9068.45	1.3	47.17	521.82	2388.03	8153.47	8.3946	0.03	391	2388	100	39.06	23.4476
1	125	0.0057	0.0002	100	518.67	642.02	1585.13	1394.81	14.62	21.61	554.39	2387.96	9072.51	1.3	47.41	522.59	2388.02	8154.84	8.4162	0.03	391	2388	100	39.07	23.4648
1	125	-0.0009	-0.0004	100	518.67	641.93	1586.82	1406.62	14.62	21.61	553.81	2387.99	9076.1	1.3	47.31	522.08	2388.04	8154.5	8.3952	0.03	391	2388	100	38.85	23.3842
1	125	0.0009	-0.0001	100	518.67	642.37	1585.26	1398.77	14.62	21.6	554.79	2387.98	9065.37	1.3	47.28	522.06	2388.02	8150.15	8.3937	0.03	392	2388	100	38.93	23.3681
1	125	0.0005	-0.0001	100	518.67	642.12	1582.77	1400.16	14.62	21.61	554.18	2387.98	9065.21	1.3	47.33	522.08	2388.03	8148.77	8.4132	0.03	390	2388	100	39.06	23.3763
1	125	-0.0006	0.0004	100	518.67	643.01	1578.4	1400.24	14.62	21.61	554.66	2387.99	9055.81	1.3	47.17	522.19	2388.04	8149.12	8.4243	0.03	391	2388	100	39.02	23.4666
1	125	-0.0012	-0.0001	100	518.67	642.04	1587.5	1393.05	14.62	21.61	554.1	2387.97	9068.18	1.3	47.22	521.81	2388.01	8153.95	8.4001	0.03	393	2388	100	39.04	23.4538
1	125	-0.0016	-0.0004	100	518.67	642.53	1586.99	1396.67	14.62	21.6	554.78	2388.03	9068.92	1.3	47.34	522.45	2387.97	8149.55	8.4513	0.03	392	2388	100	39.12	23.4103
1	125	-0.0004	0.0001	100	518.67	642.32	1586.13	1397.47	14.62	21.61	553.71	2387.95	9063.81	1.3	47.24	522.35	2388.01	8150.74	8.3766	0.03	390	2388	100	39.2	23.4302
1	125	0.0018	-0.0005	100	518.67	642.11	1587.7	1392.44	14.62	21.61	555.28	2388.03	9066.15	1.3	47.17	522.72	2387.96	8151.57	8.4155	0.03	391	2388	100	39.02	23.3631
1	125	0.0026	-0.0003	100	518.67	642.49	1579.54	1399.94	14.62	21.61	554.2	2388	9059.84	1.3	47.27	521.95	2388	8154.7	8.4126	0.03	392	2388	100	39.16	23.4065
1	125	-0.0024	-0.0002	100	518.67	642.21	1586.42	1403.41	14.62	21.61	554.28	2387.96	9068.03	1.3	47.47	522.03	2388.02	8146.6	8.4218	0.03	391	2388	100	39.02	23.4787
1	125	-0.0055	0.0003	100	518.67	641.8	1590.74	1396.33	14.62	21.61	553.75	2388.03	9069.69	1.3	47.55	522.09	2388.02	8148.97	8.4268	0.03	392	2388	100	38.9	23.2894
1	125	0.0012	-0.0004	100	518.67	642.45	1581.86	1395.89	14.62	21.61	554.85	2388.02	9067.31	1.3	47.32	522.22	2388.03	8146.41	8.4141	0.03	393	2388	100	38.91	23.5297
1	125	-0.004	-0.0001	100	518.67	642.06	1588.99	1396.98	14.62	21.61	554.82	2387.95	9073.55	1.3	47.33	522.58	2388.02	8151.59	8.3305	0.03	393	2388	100	39.03	23.4539
1	125	0.004	-0.0004	100	518.67	642.49	1588.71	1401.57	14.62	21.61	555.03	2388.01	9071.77	1.3	47.3	522.62	2387.98	8148.72	8.3718	0.03	392	2388	100	38.83	23.4252
1	125	0.0065	0	100	518.67	641.6	1578.79	1400.48	14.62	21.61	554.31	2388.02	9074.51	1.3	47.19	522.26	2387.99	8155.39	8.4005	0.03	392	2388	100	38.91	23.3543
1	125	0.0007	-0.0002	100	518.67	642.22	1583.9	1395.26	14.62	21.61	554.51	2387.96	9069.77	1.3	47.24	522.47	2388.02	8150.31	8.3948	0.03	394	2388	100	38.94	23.4083
1	125	-0.0014	-0.0002	100	518.67	641.96	1582.54	1400.72	14.62	21.6	554.61	2387.97	9072.56	1.3	47.32	522.45	2387.97	8151.32	8.3559	0.03	392	2388	100	39.07	23.3239
1	125	0.0018	-0.0002	100	518.67	642.06	1584.71	1403.21	14.62	21.61	554.31	2388	9071.68	1.3	47.26	522.2	2387.97	8148.7	8.4148	0.03	392	2388	100	38.86	23.4382
1	125	0.0009	0.0004	100	518.67	642.71	1581.49	1399.38	14.62	21.61	553.96	2387.96	9072.52	1.3	47.1	522.42	2387.98	8144.75	8.4327	0.03	392	2388	100	39.14	23.4357
1	125	0.002	0.0001	100	518.67	642.69	1585.54	1407.66	14.62	21.61	552.85	2387.99	9068.1	1.3	47.26	522.78	2387.94	8149.9	8.4334	0.03	389	2388	100	39.17	23.3515
1	125	0.0019	0.0001	100	518.67	642.56	1584.23	1407.95	14.62	21.61	554.23	2387.96	9066.98	1.3	47.17	522.56	2387.98	8153.01	8.4343	0.03	391	2388	100	39.01	23.3131
1	125	-0.0037	0.0003	100	518.67	642.02	1582.9	1400.5	14.62	21.61	554.61	2388.06	9071.26	1.3	47.21	522.04	2388.04	8145.17	8.4268	0.03	392	2388	100	38.88	23.5009
